Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-06 11:43:04.269 -0600,"Success",0:00:00,0,15,0,"20160606_114304.269/LogFile.txt","","",1
2016-06-06 11:43:36.368 -0600,"Success",0:00:00,0,15,0,"20160606_114336.368/LogFile.txt","","",1
2016-06-06 11:43:37.867 -0600,"Success",0:00:00,0,15,0,"20160606_114337.867/LogFile.txt","","",1
2016-06-06 12:21:57.737 -0600,"Success",0:00:06,0,1,0,"20160606_122157.737/LogFile.txt","","",4
2016-06-06 12:22:17.941 -0600,"Success",0:00:00,0,13,0,"20160606_122217.941/LogFile.txt","","",4
2016-06-06 12:22:58.252 -0600,"Success",0:00:04,0,13,0,"20160606_122258.252/LogFile.txt","","",4
2016-06-06 12:31:18.745 -0600,"Failure",0:00:00,4,11,0,"20160606_123118.745/LogFile.txt","","SenseTalk Compiler Exception -- in the_chrome_browser_is_open:\nWarning at line 3: Warning - Non-matching handler name: The_Chrome_browser_opens",5
2016-06-06 12:31:29.574 -0600,"Failure",0:00:00,4,11,0,"20160606_123129.574/LogFile.txt","","SenseTalk Compiler Exception -- in the_chrome_browser_is_open:\nWarning at line 3: Warning - Non-matching handler name: The_Chrome_browser_opens",5
2016-06-06 12:35:56.866 -0600,"Success",0:00:05,0,11,0,"20160606_123556.866/LogFile.txt","","",8
2016-06-06 12:36:07.561 -0600,"Success",0:00:06,0,11,0,"20160606_123607.561/LogFile.txt","","",8
2016-06-06 12:51:41.567 -0600,"Success",0:00:09,0,9,0,"20160606_125141.567/LogFile.txt","","",12
2016-06-06 13:29:43.877 -0600,"Success",0:00:09,0,10,0,"20160606_132943.877/LogFile.txt","","",10
2016-06-06 13:29:59.755 -0600,"Running",0:00:00,0,0,0,"20160606_132959.755/LogFile.txt","","",0
2016-06-06 13:30:45.955 -0600,"Success",0:00:08,0,9,0,"20160606_133045.955/LogFile.txt","","",12
2016-06-06 13:41:36.853 -0600,"Success",0:00:11,0,8,0,"20160606_134136.853/LogFile.txt","","",14
2016-06-06 13:54:47.772 -0600,"Running",0:00:00,0,0,0,"20160606_135447.772/LogFile.txt","","",0
2016-06-06 13:55:31.287 -0600,"Failure",0:00:10,3,6,0,"20160606_135531.287/LogFile.txt","","SenseTalk Compiler Exception -- in a_listing_for_the_search_item_appears:\nSyntax Error at line 5: Syntax Error - can't understand ""A_listing_for_the_search_item_appears"" at or near character 148",16
2016-06-06 13:59:25.567 -0600,"Failure",0:00:09,3,6,0,"20160606_135925.567/LogFile.txt","","SenseTalk Compiler Exception -- in a_listing_for_the_search_item_appears:\nSyntax Error at line 5: Syntax Error - can't understand ""A_listing_for_the_search_item_appears"" at or near character 148",16
2016-06-06 14:01:58.093 -0600,"Running",0:00:00,0,0,0,"20160606_140158.093/LogFile.txt","","",0
2016-06-06 14:03:24.158 -0600,"Running",0:00:00,0,0,0,"20160606_140324.158/LogFile.txt","","",0
2016-06-06 14:24:15.710 -0600,"Running",0:00:00,0,0,0,"20160606_142415.710/LogFile.txt","","",0
2016-06-06 14:26:37.271 -0600,"Success",0:00:14,0,5,0,"20160606_142637.271/LogFile.txt","","",20
2016-06-06 14:30:23.291 -0600,"Success",0:00:17,0,5,0,"20160606_143023.291/LogFile.txt","","",20
2016-06-06 14:32:14.277 -0600,"Success",0:00:22,0,4,0,"20160606_143214.277/LogFile.txt","","",22
2016-06-06 14:34:21.932 -0600,"Success",0:00:23,0,3,0,"20160606_143421.932/LogFile.txt","","",24
2016-06-06 14:57:06.854 -0600,"Running",0:00:00,0,0,0,"20160606_145706.854/LogFile.txt","","",0
2016-06-06 14:57:42.436 -0600,"Failure",0:02:45,1,2,0,"20160606_145742.436/LogFile.txt","","Script Error -- Number of Errors logged: 1",26
2016-06-06 15:06:17.266 -0600,"Failure",0:02:43,1,0,0,"20160606_150617.266/LogFile.txt","","Script Error -- Number of Errors logged: 1",30
2016-06-06 15:09:58.140 -0600,"Success",0:00:20,0,0,0,"20160606_150958.140/LogFile.txt","","",30
2016-06-06 15:30:11.628 -0600,"Running",0:00:00,0,0,0,"20160606_153011.628/LogFile.txt","","",0
2016-06-06 15:33:01.582 -0600,"Running",0:00:00,0,0,0,"20160606_153301.582/LogFile.txt","","",0
